name,image,originalPrice,price,promotionId,discount,ratingScore,review,location,description,brandName,inStock
PNY GeForce RTX 3060 TI 8GB VERTO™  LHR Dual Fan,https://static-01.daraz.com.bd/p/b964667fc87937d0047241232130e5e3.jpg,63500.00,61500.00,null,-3%,Not Available,0,Bangladesh,"['PNY GeForce RTX 3060 TI 8GB VERTO™  LHR Dual Fan8GB Capacity', '256-bit Memory Interface7680 x 4320 @60Hz (Digital) ResolutionV3x DisplayPort 1.4a, HDMI 2.1 Outputs1 x 8-pin ConnectorsNVIDIA Ampere Streaming MultiprocessorsStream ProcessorsBest-In-Class Performance3 Years Warranty']",PNY,True
Graphic Cards,https://static-01.daraz.com.bd/p/70d48daf1e0beef56a76e223b267f813.jpg,68000.00,60000.00,null,-12%,Not Available,0,Bangladesh,['TH3P4G3 Mini for Thundeolt-Compatible GPU Dock Graphics Card USB3.0 Extended PCI-E X16 Interface with ATX/SFX Bracket'],No Brand,True
RX580 8G AMD Gaming Graphics Card 8GB GDDR5 256BIT 2048SP 1206MHz/1500 MHz PCI-E3.0 X16 DVI DP HDMI-Compatible Interface,https://static-01.daraz.com.bd/p/89bd88f39c0c8ca3add8226dd0fbbf90.jpg,21101.00,11406.00,null,-46%,Not Available,0,China,[],No Brand,True
RX580 8G 2048SP Gaming Graphics Card 8GB DDR5 256Bit 1284/1750MHz,https://static-01.daraz.com.bd/p/99c2b4a8ed40683e6cc9b28b68f7adb0.jpg,15193.00,10033.00,null,-34%,Not Available,0,China,[],No Brand,True
Cimiva Graphics Card Fixed Support Frame Aluminum Alloy Graphics Card Bracket-black 59*45*194mm,https://static-01.daraz.com.bd/p/2949e038f1f3dcc75d667ba9269f6fc9.jpg,1076.00,828.00,null,-23%,Not Available,0,China,"['1. Rubber pad design: the support module of this product is equipped with cushion anti scratch rubber pad, which has strong protection function.', '2. All aluminum material: This product is made of all aluminum material instead of plastic material, which can avoid the aging and fragile problem of plastic material, and can be used as long-term replacement parts.', '3. Exquisite technology: the base of this product is round, round and full, and the metal texture is perfect.', '4. Magnetic suction design: the magnetic suction hidden at the bottom is designed with additional protective rubber pad, which is convenient for users to stand in the chassis firmly and is not easy to slip and scratch the chassis.', '5. No fading: the support plate adopts polishing anode process, and the full anode polishing process can maintain the surface texture of the product and keep the color unchanged for a long time.']",Cimiva,True
COLORFUL GeForce GT1010 LP 2GD4 Graphics Card 2GB 64Bit GPU 14Nm 1151MHz 1379MHz 2XHDMI-Compatible Video Card,https://static-01.daraz.com.bd/p/8b27a927a1a6fe509d5a5b35404d0003.png,15517.00,8886.00,null,-43%,Not Available,0,China,[],No Brand,True
Graphics Card ATI6700 1GB DDR5 128BIT Desktop HD Games Computer Discrete Graphics Card PCIE 2.0 DVI-I VGA Video Card,https://static-01.daraz.com.bd/p/96cee4cb2418cee843d8da86033f2a56.jpg,8882.00,4968.00,null,-44%,Not Available,0,China,[],No Brand,True
PELADN RTX 2060 6G GDDR6 192Bit Desktop Gaming Video Card for BTC ETH Mining GPU,https://static-01.daraz.com.bd/p/29c2adf703c2dafe6ba7ecc02f63a6b7.jpg,49996.00,28569.00,null,-43%,Not Available,0,China,[],No Brand,True
Graphics Card RX580 8GB 2048SP HD Game Graphics Card DDR5 256BIT Desktop Computer Graphics Card PCI Express 3.0 16X Graphics Card,https://static-01.daraz.com.bd/p/17881f51641fdbe1920b76bad442f7c4.jpg,23067.00,13106.00,null,-43%,Not Available,0,China,[],No Brand,True
PCI-E 1.1 X16 Desktop Small Chassis PC Gaming Graphics Card,https://static-01.daraz.com.bd/p/912baeefa7c14428af85817f3332df35.jpg,7695.00,3946.00,null,-49%,Not Available,0,China,[],No Brand,True
